Article,Topic,Legitimacy
إيلون ماسك لم يعلن حتى الآن عن تغيير قواعد النشر في تويتر,تكنولوجيا,زائف
فيديو إيلون ماسك وهو يطرد موظفة حظرت حساب ترامب مفبرك,تكنولوجيا,زائف
تويتر لم يعلّق الحساب الرسمي لإيلون ماسك,تكنولوجيا,زائف
الصورة مفبركة وليست لطوابير تنتظر اقتناء آيفون 14 في الجزائر,تكنولوجيا,زائف
مجرد مطالبات أميركية ولم يُعلن عن حذف تيك توك من متجري غوغل وأبل,تكنولوجيا,زائف
لا يوجد إعلان رسمي في ليبيا عن حجب تيك توك,تكنولوجيا,زائف
تويتر لم يستحدث ميزة الكشف عن هوية زائر الحساب,تكنولوجيا,زائف
فيديو اليوتيوبر الذي ادّعى زراعة كاميرا في يده مفبرك,تكنولوجيا,زائف
لا صحة لخبر وفاة طبيب القلب المصري مجدي يعقوب,تكنولوجيا,زائف
فيديو مصمم لمرور طائرة تحت جسر مائي وليس حقيقيًا,تكنولوجيا,زائف
الصورة ليست لطفل صيني اخترق تطبيقات فيسبوك وواتساب وانستغرام,تكنولوجيا,زائف
لا صحة لإفلاس شركة تويتر وإغلاق الموقع بشكل دائم,تكنولوجيا,زائف
الفيديو مفبرك وليس لقرصنة هاكر مغربي القناة 14 الإسرائيلية,تكنولوجيا,زائف
صورة مفبركة ولم يتنبأ مسلسل عائلة سيمبسون بصدور تطبيق ثريدز,تكنولوجيا,زائف
الصور مولّدة بالذكاء الاصطناعي وليست لمهرجان كوكايين لإحياء ذكرى إسكوبار,تكنولوجيا,زائف
تويتر لم يعلن عن زيادة الأحرف المسموح بها في التغريدة إلى 26 ألفًا,تكنولوجيا,زائف
الجزائر لم تعلن عن إيقاف تطبيق تيك توك بداية من الأسبوع المقبل,تكنولوجيا,زائف
إيلون ماسك لم يعلن حتى الآن عن تغيير قواعد النشر في تويتر,تكنولوجيا,زائف
فيديو إيلون ماسك وهو يطرد موظفة حظرت حساب ترامب مفبرك,تكنولوجيا,زائف
تويتر لم يعلّق الحساب الرسمي لإيلون ماسك,تكنولوجيا,زائف
الصورة مفبركة وليست لطوابير تنتظر اقتناء آيفون 14 في الجزائر,تكنولوجيا,زائف
مجرد مطالبات أميركية ولم يُعلن عن حذف تيك توك من متجري غوغل وأبل,تكنولوجيا,زائف
لا يوجد إعلان رسمي في ليبيا عن حجب تيك توك,تكنولوجيا,زائف
تويتر لم يستحدث ميزة الكشف عن هوية زائر الحساب,تكنولوجيا,زائف
فيديو اليوتيوبر الذي ادّعى زراعة كاميرا في يده مفبرك,تكنولوجيا,زائف
لا صحة لخبر وفاة طبيب القلب المصري مجدي يعقوب,تكنولوجيا,زائف
فيديو مصمم لمرور طائرة تحت جسر مائي وليس حقيقيًا,تكنولوجيا,زائف
الصورة ليست لطفل صيني اخترق تطبيقات فيسبوك وواتساب وانستغرام,تكنولوجيا,زائف
لا صحة لإفلاس شركة تويتر وإغلاق الموقع بشكل دائم,تكنولوجيا,زائف
الفيديو عمل فني وليس ذئبًا حقيقيًا تم اصطياده في السعودية,تكنولوجيا,زائف
موظفون في آبل يطالبون الشركة بدعم الشعب الفلسطيني,تكنولوجيا,صحيح
فيديو مفبرك ولا يوجِّه فيه الأنونيموس تهديدًا للكيان الصهيوني,تكنولوجيا,زائف
الفيديو مفبرك وليس لقرصنة هاكر مغربي القناة 14 الإسرائيلية,تكنولوجيا,زائف
صورة مفبركة ولم يتنبأ مسلسل عائلة سيمبسون بصدور تطبيق ثريدز,تكنولوجيا,زائف
الصور مولّدة بالذكاء الاصطناعي وليست لمهرجان كوكايين لإحياء ذكرى إسكوبار,تكنولوجيا,زائف
تويتر لم يعلن عن زيادة الأحرف المسموح بها في التغريدة إلى 26 ألفًا,تكنولوجيا,زائف
الجزائر لم تعلن عن إيقاف تطبيق تيك توك بداية من الأسبوع المقبل,تكنولوجيا,زائف
إيلون ماسك لم يعلن حتى الآن عن تغيير قواعد النشر في تويتر,تكنولوجيا,زائف
فيديو إيلون ماسك وهو يطرد موظفة حظرت حساب ترامب مفبرك,تكنولوجيا,زائف
تويتر لم يعلّق الحساب الرسمي لإيلون ماسك,تكنولوجيا,زائف
الصورة مفبركة وليست لطوابير تنتظر اقتناء آيفون 14 في الجزائر,تكنولوجيا,زائف
مجرد مطالبات أميركية ولم يُعلن عن حذف تيك توك من متجري غوغل وأبل,تكنولوجيا,زائف
لا يوجد إعلان رسمي في ليبيا عن حجب تيك توك,تكنولوجيا,زائف
تويتر لم يستحدث ميزة الكشف عن هوية زائر الحساب,تكنولوجيا,زائف
فيديو اليوتيوبر الذي ادّعى زراعة كاميرا في يده مفبرك,تكنولوجيا,زائف
لا صحة لخبر وفاة طبيب القلب المصري مجدي يعقوب,تكنولوجيا,زائف
فيديو مصمم لمرور طائرة تحت جسر مائي وليس حقيقيًا,تكنولوجيا,زائف
الصورة ليست لطفل صيني اخترق تطبيقات فيسبوك وواتساب وانستغرام,تكنولوجيا,زائف
لا صحة لإفلاس شركة تويتر وإغلاق الموقع بشكل دائم,تكنولوجيا,زائف
الفيديو عمل فني وليس ذئبًا حقيقيًا تم اصطياده في السعودية,تكنولوجيا,زائف
موظفون في آبل يطالبون الشركة بدعم الشعب الفلسطيني,تكنولوجيا,صحيح
فيديو مفبرك ولا يوجِّه فيه الأنونيموس تهديدًا للكيان الصهيوني,تكنولوجيا,زائف
لم تُعلن شركة أبل رسميًّا عن إصدار اللون الوردي لهاتف آيفون 13 برو ماكس,تكنولوجيا,زائف
كلمة Hello الترحيبية في المكالمات لا تستخدم نسبةً لزوجة غراهام بيل,تكنولوجيا,زائف
الصورة بالفعل تُظهر الفرق بين الشعار الجديد والقديم لشركة شاومي,تكنولوجيا,صحيح
الصورة لمروحية كاموف52 خلال تدريبات في الجزائر عام 2015,تكنولوجيا,صحيح
الفيديو مفبرك وليس لقرصنة هاكر مغربي القناة 14 الإسرائيلية,تكنولوجيا,زائف
صورة مفبركة ولم يتنبأ مسلسل عائلة سيمبسون بصدور تطبيق ثريدز,تكنولوجيا,زائف
الصور مولّدة بالذكاء الاصطناعي وليست لمهرجان كوكايين لإحياء ذكرى إسكوبار,تكنولوجيا,زائف
تويتر لم يعلن عن زيادة الأحرف المسموح بها في التغريدة إلى 26 ألفًا,تكنولوجيا,زائف
الجزائر لم تعلن عن إيقاف تطبيق تيك توك بداية من الأسبوع المقبل,تكنولوجيا,زائف
إيلون ماسك لم يعلن حتى الآن عن تغيير قواعد النشر في تويتر,تكنولوجيا,زائف
فيديو إيلون ماسك وهو يطرد موظفة حظرت حساب ترامب مفبرك,تكنولوجيا,زائف
تويتر لم يعلّق الحساب الرسمي لإيلون ماسك,تكنولوجيا,زائف
الصورة مفبركة وليست لطوابير تنتظر اقتناء آيفون 14 في الجزائر,تكنولوجيا,زائف
مجرد مطالبات أميركية ولم يُعلن عن حذف تيك توك من متجري غوغل وأبل,تكنولوجيا,زائف
لا يوجد إعلان رسمي في ليبيا عن حجب تيك توك,تكنولوجيا,زائف
تويتر لم يستحدث ميزة الكشف عن هوية زائر الحساب,تكنولوجيا,زائف
فيديو اليوتيوبر الذي ادّعى زراعة كاميرا في يده مفبرك,تكنولوجيا,زائف
لا صحة لخبر وفاة طبيب القلب المصري مجدي يعقوب,تكنولوجيا,زائف
فيديو مصمم لمرور طائرة تحت جسر مائي وليس حقيقيًا,تكنولوجيا,زائف
الصورة ليست لطفل صيني اخترق تطبيقات فيسبوك وواتساب وانستغرام,تكنولوجيا,زائف
لا صحة لإفلاس شركة تويتر وإغلاق الموقع بشكل دائم,تكنولوجيا,زائف
الفيديو عمل فني وليس ذئبًا حقيقيًا تم اصطياده في السعودية,تكنولوجيا,زائف
موظفون في آبل يطالبون الشركة بدعم الشعب الفلسطيني,تكنولوجيا,صحيح
فيديو مفبرك ولا يوجِّه فيه الأنونيموس تهديدًا للكيان الصهيوني,تكنولوجيا,زائف
لم تُعلن شركة أبل رسميًّا عن إصدار اللون الوردي لهاتف آيفون 13 برو ماكس,تكنولوجيا,زائف
كلمة Hello الترحيبية في المكالمات لا تستخدم نسبةً لزوجة غراهام بيل,تكنولوجيا,زائف
الصورة بالفعل تُظهر الفرق بين الشعار الجديد والقديم لشركة شاومي,تكنولوجيا,صحيح
الصورة لمروحية كاموف52 خلال تدريبات في الجزائر عام 2015,تكنولوجيا,صحيح
آبل لم تعلن عن فتح فرع للشركة في العاصمة الإدارية المصرية,تكنولوجيا,زائف
الفيديو مفبرك وليس لقرصنة هاكر مغربي القناة 14 الإسرائيلية,تكنولوجيا,زائف
صورة مفبركة ولم يتنبأ مسلسل عائلة سيمبسون بصدور تطبيق ثريدز,تكنولوجيا,زائف
الصور مولّدة بالذكاء الاصطناعي وليست لمهرجان كوكايين لإحياء ذكرى إسكوبار,تكنولوجيا,زائف
تويتر لم يعلن عن زيادة الأحرف المسموح بها في التغريدة إلى 26 ألفًا,تكنولوجيا,زائف
الجزائر لم تعلن عن إيقاف تطبيق تيك توك بداية من الأسبوع المقبل,تكنولوجيا,زائف
إيلون ماسك لم يعلن حتى الآن عن تغيير قواعد النشر في تويتر,تكنولوجيا,زائف
فيديو إيلون ماسك وهو يطرد موظفة حظرت حساب ترامب مفبرك,تكنولوجيا,زائف
تويتر لم يعلّق الحساب الرسمي لإيلون ماسك,تكنولوجيا,زائف
الصورة مفبركة وليست لطوابير تنتظر اقتناء آيفون 14 في الجزائر,تكنولوجيا,زائف
مجرد مطالبات أميركية ولم يُعلن عن حذف تيك توك من متجري غوغل وأبل,تكنولوجيا,زائف
لا يوجد إعلان رسمي في ليبيا عن حجب تيك توك,تكنولوجيا,زائف
تويتر لم يستحدث ميزة الكشف عن هوية زائر الحساب,تكنولوجيا,زائف
فيديو اليوتيوبر الذي ادّعى زراعة كاميرا في يده مفبرك,تكنولوجيا,زائف
لا صحة لخبر وفاة طبيب القلب المصري مجدي يعقوب,تكنولوجيا,زائف
فيديو مصمم لمرور طائرة تحت جسر مائي وليس حقيقيًا,تكنولوجيا,زائف
الصورة ليست لطفل صيني اخترق تطبيقات فيسبوك وواتساب وانستغرام,تكنولوجيا,زائف
لا صحة لإفلاس شركة تويتر وإغلاق الموقع بشكل دائم,تكنولوجيا,زائف
الفيديو عمل فني وليس ذئبًا حقيقيًا تم اصطياده في السعودية,تكنولوجيا,زائف
موظفون في آبل يطالبون الشركة بدعم الشعب الفلسطيني,تكنولوجيا,صحيح
فيديو مفبرك ولا يوجِّه فيه الأنونيموس تهديدًا للكيان الصهيوني,تكنولوجيا,زائف
لم تُعلن شركة أبل رسميًّا عن إصدار اللون الوردي لهاتف آيفون 13 برو ماكس,تكنولوجيا,زائف
كلمة Hello الترحيبية في المكالمات لا تستخدم نسبةً لزوجة غراهام بيل,تكنولوجيا,زائف
الصورة بالفعل تُظهر الفرق بين الشعار الجديد والقديم لشركة شاومي,تكنولوجيا,صحيح
الصورة لمروحية كاموف52 خلال تدريبات في الجزائر عام 2015,تكنولوجيا,صحيح
آبل لم تعلن عن فتح فرع للشركة في العاصمة الإدارية المصرية,تكنولوجيا,زائف
لم يُعلن عن التخفيض في مدة سجن حمزة بن دلاج وإطلاق سراحه,تكنولوجيا,زائف
الفيديو مفبرك وليس لقرصنة هاكر مغربي القناة 14 الإسرائيلية,تكنولوجيا,زائف
صورة مفبركة ولم يتنبأ مسلسل عائلة سيمبسون بصدور تطبيق ثريدز,تكنولوجيا,زائف
الصور مولّدة بالذكاء الاصطناعي وليست لمهرجان كوكايين لإحياء ذكرى إسكوبار,تكنولوجيا,زائف
تويتر لم يعلن عن زيادة الأحرف المسموح بها في التغريدة إلى 26 ألفًا,تكنولوجيا,زائف
الجزائر لم تعلن عن إيقاف تطبيق تيك توك بداية من الأسبوع المقبل,تكنولوجيا,زائف
إيلون ماسك لم يعلن حتى الآن عن تغيير قواعد النشر في تويتر,تكنولوجيا,زائف
فيديو إيلون ماسك وهو يطرد موظفة حظرت حساب ترامب مفبرك,تكنولوجيا,زائف
تويتر لم يعلّق الحساب الرسمي لإيلون ماسك,تكنولوجيا,زائف
الصورة مفبركة وليست لطوابير تنتظر اقتناء آيفون 14 في الجزائر,تكنولوجيا,زائف
مجرد مطالبات أميركية ولم يُعلن عن حذف تيك توك من متجري غوغل وأبل,تكنولوجيا,زائف
لا يوجد إعلان رسمي في ليبيا عن حجب تيك توك,تكنولوجيا,زائف
تويتر لم يستحدث ميزة الكشف عن هوية زائر الحساب,تكنولوجيا,زائف
فيديو اليوتيوبر الذي ادّعى زراعة كاميرا في يده مفبرك,تكنولوجيا,زائف
لا صحة لخبر وفاة طبيب القلب المصري مجدي يعقوب,تكنولوجيا,زائف
فيديو مصمم لمرور طائرة تحت جسر مائي وليس حقيقيًا,تكنولوجيا,زائف
الصورة ليست لطفل صيني اخترق تطبيقات فيسبوك وواتساب وانستغرام,تكنولوجيا,زائف
لا صحة لإفلاس شركة تويتر وإغلاق الموقع بشكل دائم,تكنولوجيا,زائف
الفيديو عمل فني وليس ذئبًا حقيقيًا تم اصطياده في السعودية,تكنولوجيا,زائف
موظفون في آبل يطالبون الشركة بدعم الشعب الفلسطيني,تكنولوجيا,صحيح
فيديو مفبرك ولا يوجِّه فيه الأنونيموس تهديدًا للكيان الصهيوني,تكنولوجيا,زائف
لم تُعلن شركة أبل رسميًّا عن إصدار اللون الوردي لهاتف آيفون 13 برو ماكس,تكنولوجيا,زائف
كلمة Hello الترحيبية في المكالمات لا تستخدم نسبةً لزوجة غراهام بيل,تكنولوجيا,زائف
الصورة بالفعل تُظهر الفرق بين الشعار الجديد والقديم لشركة شاومي,تكنولوجيا,صحيح
الصورة لمروحية كاموف52 خلال تدريبات في الجزائر عام 2015,تكنولوجيا,صحيح
آبل لم تعلن عن فتح فرع للشركة في العاصمة الإدارية المصرية,تكنولوجيا,زائف
لم يُعلن عن التخفيض في مدة سجن حمزة بن دلاج وإطلاق سراحه,تكنولوجيا,زائف
بيان زائف حول انتهاك فيسبوك لخصوصية المستخدمين,تكنولوجيا,زائف
لم يغرد حساب سامسونغ على تويتر من جهاز آيفون,تكنولوجيا,زائف
لم يطلب واتساب من مستخدميه إرسال هذه الرسالة لتجنب إغلاق الحساب,تكنولوجيا,زائف
فيديو زائف يدّعي أنّ رنين الهاتف يؤدي إلى إشعال المادة المحيطة به,تكنولوجيا,زائف
الفيديو مفبرك وليس لقرصنة هاكر مغربي القناة 14 الإسرائيلية,تكنولوجيا,زائف
صورة مفبركة ولم يتنبأ مسلسل عائلة سيمبسون بصدور تطبيق ثريدز,تكنولوجيا,زائف
الصور مولّدة بالذكاء الاصطناعي وليست لمهرجان كوكايين لإحياء ذكرى إسكوبار,تكنولوجيا,زائف
تويتر لم يعلن عن زيادة الأحرف المسموح بها في التغريدة إلى 26 ألفًا,تكنولوجيا,زائف
الجزائر لم تعلن عن إيقاف تطبيق تيك توك بداية من الأسبوع المقبل,تكنولوجيا,زائف
إيلون ماسك لم يعلن حتى الآن عن تغيير قواعد النشر في تويتر,تكنولوجيا,زائف
فيديو إيلون ماسك وهو يطرد موظفة حظرت حساب ترامب مفبرك,تكنولوجيا,زائف
تويتر لم يعلّق الحساب الرسمي لإيلون ماسك,تكنولوجيا,زائف
الصورة مفبركة وليست لطوابير تنتظر اقتناء آيفون 14 في الجزائر,تكنولوجيا,زائف
مجرد مطالبات أميركية ولم يُعلن عن حذف تيك توك من متجري غوغل وأبل,تكنولوجيا,زائف
لا يوجد إعلان رسمي في ليبيا عن حجب تيك توك,تكنولوجيا,زائف
تويتر لم يستحدث ميزة الكشف عن هوية زائر الحساب,تكنولوجيا,زائف
فيديو اليوتيوبر الذي ادّعى زراعة كاميرا في يده مفبرك,تكنولوجيا,زائف
لا صحة لخبر وفاة طبيب القلب المصري مجدي يعقوب,تكنولوجيا,زائف
فيديو مصمم لمرور طائرة تحت جسر مائي وليس حقيقيًا,تكنولوجيا,زائف
الصورة ليست لطفل صيني اخترق تطبيقات فيسبوك وواتساب وانستغرام,تكنولوجيا,زائف
لا صحة لإفلاس شركة تويتر وإغلاق الموقع بشكل دائم,تكنولوجيا,زائف
الفيديو عمل فني وليس ذئبًا حقيقيًا تم اصطياده في السعودية,تكنولوجيا,زائف
موظفون في آبل يطالبون الشركة بدعم الشعب الفلسطيني,تكنولوجيا,صحيح
فيديو مفبرك ولا يوجِّه فيه الأنونيموس تهديدًا للكيان الصهيوني,تكنولوجيا,زائف
لم تُعلن شركة أبل رسميًّا عن إصدار اللون الوردي لهاتف آيفون 13 برو ماكس,تكنولوجيا,زائف
كلمة Hello الترحيبية في المكالمات لا تستخدم نسبةً لزوجة غراهام بيل,تكنولوجيا,زائف
الصورة بالفعل تُظهر الفرق بين الشعار الجديد والقديم لشركة شاومي,تكنولوجيا,صحيح
الصورة لمروحية كاموف52 خلال تدريبات في الجزائر عام 2015,تكنولوجيا,صحيح
آبل لم تعلن عن فتح فرع للشركة في العاصمة الإدارية المصرية,تكنولوجيا,زائف
لم يُعلن عن التخفيض في مدة سجن حمزة بن دلاج وإطلاق سراحه,تكنولوجيا,زائف
بيان زائف حول انتهاك فيسبوك لخصوصية المستخدمين,تكنولوجيا,زائف
لم يغرد حساب سامسونغ على تويتر من جهاز آيفون,تكنولوجيا,زائف
لم يطلب واتساب من مستخدميه إرسال هذه الرسالة لتجنب إغلاق الحساب,تكنولوجيا,زائف
فيديو زائف يدّعي أنّ رنين الهاتف يؤدي إلى إشعال المادة المحيطة به,تكنولوجيا,زائف
الفيديو مفبرك وليس لقرصنة هاكر مغربي القناة 14 الإسرائيلية,تكنولوجيا,زائف
صورة مفبركة ولم يتنبأ مسلسل عائلة سيمبسون بصدور تطبيق ثريدز,تكنولوجيا,زائف
الصور مولّدة بالذكاء الاصطناعي وليست لمهرجان كوكايين لإحياء ذكرى إسكوبار,تكنولوجيا,زائف
تويتر لم يعلن عن زيادة الأحرف المسموح بها في التغريدة إلى 26 ألفًا,تكنولوجيا,زائف
الجزائر لم تعلن عن إيقاف تطبيق تيك توك بداية من الأسبوع المقبل,تكنولوجيا,زائف
إيلون ماسك لم يعلن حتى الآن عن تغيير قواعد النشر في تويتر,تكنولوجيا,زائف
فيديو إيلون ماسك وهو يطرد موظفة حظرت حساب ترامب مفبرك,تكنولوجيا,زائف
تويتر لم يعلّق الحساب الرسمي لإيلون ماسك,تكنولوجيا,زائف
الصورة مفبركة وليست لطوابير تنتظر اقتناء آيفون 14 في الجزائر,تكنولوجيا,زائف
مجرد مطالبات أميركية ولم يُعلن عن حذف تيك توك من متجري غوغل وأبل,تكنولوجيا,زائف
لا يوجد إعلان رسمي في ليبيا عن حجب تيك توك,تكنولوجيا,زائف
تويتر لم يستحدث ميزة الكشف عن هوية زائر الحساب,تكنولوجيا,زائف
فيديو اليوتيوبر الذي ادّعى زراعة كاميرا في يده مفبرك,تكنولوجيا,زائف
لا صحة لخبر وفاة طبيب القلب المصري مجدي يعقوب,تكنولوجيا,زائف
فيديو مصمم لمرور طائرة تحت جسر مائي وليس حقيقيًا,تكنولوجيا,زائف
الصورة ليست لطفل صيني اخترق تطبيقات فيسبوك وواتساب وانستغرام,تكنولوجيا,زائف
لا صحة لإفلاس شركة تويتر وإغلاق الموقع بشكل دائم,تكنولوجيا,زائف
الفيديو عمل فني وليس ذئبًا حقيقيًا تم اصطياده في السعودية,تكنولوجيا,زائف
موظفون في آبل يطالبون الشركة بدعم الشعب الفلسطيني,تكنولوجيا,صحيح
فيديو مفبرك ولا يوجِّه فيه الأنونيموس تهديدًا للكيان الصهيوني,تكنولوجيا,زائف
لم تُعلن شركة أبل رسميًّا عن إصدار اللون الوردي لهاتف آيفون 13 برو ماكس,تكنولوجيا,زائف
كلمة Hello الترحيبية في المكالمات لا تستخدم نسبةً لزوجة غراهام بيل,تكنولوجيا,زائف
الصورة بالفعل تُظهر الفرق بين الشعار الجديد والقديم لشركة شاومي,تكنولوجيا,صحيح
الصورة لمروحية كاموف52 خلال تدريبات في الجزائر عام 2015,تكنولوجيا,صحيح
آبل لم تعلن عن فتح فرع للشركة في العاصمة الإدارية المصرية,تكنولوجيا,زائف
لم يُعلن عن التخفيض في مدة سجن حمزة بن دلاج وإطلاق سراحه,تكنولوجيا,زائف
بيان زائف حول انتهاك فيسبوك لخصوصية المستخدمين,تكنولوجيا,زائف
لم يغرد حساب سامسونغ على تويتر من جهاز آيفون,تكنولوجيا,زائف
لم يطلب واتساب من مستخدميه إرسال هذه الرسالة لتجنب إغلاق الحساب,تكنولوجيا,زائف
فيديو زائف يدّعي أنّ رنين الهاتف يؤدي إلى إشعال المادة المحيطة به,تكنولوجيا,زائف
الفيديو مفبرك وليس لقرصنة هاكر مغربي القناة 14 الإسرائيلية,تكنولوجيا,زائف
صورة مفبركة ولم يتنبأ مسلسل عائلة سيمبسون بصدور تطبيق ثريدز,تكنولوجيا,زائف
الصور مولّدة بالذكاء الاصطناعي وليست لمهرجان كوكايين لإحياء ذكرى إسكوبار,تكنولوجيا,زائف
تويتر لم يعلن عن زيادة الأحرف المسموح بها في التغريدة إلى 26 ألفًا,تكنولوجيا,زائف
الجزائر لم تعلن عن إيقاف تطبيق تيك توك بداية من الأسبوع المقبل,تكنولوجيا,زائف
إيلون ماسك لم يعلن حتى الآن عن تغيير قواعد النشر في تويتر,تكنولوجيا,زائف
